1,Collin Sexton,sextoco01
2,Kevin Love,loveke01
3,Darius Garland,garlada01
4,Tristan Thompson,thomptr01
5,Cedi Osman,osmande01
6,Andre Drummond,drumman01
7,Larry Nance,nancela02
8,Kevin Porter,porteke02
9,Jordan Clarkson,clarkjo01
10,Dante Exum,exumda01
11,Brandon Knight,knighbr03
12,Alfonzo McKinnie,mckinal01
13,Matthew Dellavedova,dellama01
14,John Henson,hensojo01
15,Ante Žižić,zizican01
16,Dean Wade,wadede01
17,Matt Mooney,moonema01
18,Malik Newman,newmama01
19,Tyler Cook,cookty01
20,Marques Bolden,boldema01
21,J.P. Macura,macurjp01
