1,Will Barton,bartowi01
2,Jamal Murray,murraja01
3,Nikola Jokić,jokicni01
4,Gary Harris,harriga01
5,Jerami Grant,grantje01
6,Paul Millsap,millspa01
7,Monte Morris,morrimo01
8,Torrey Craig,craigto01
9,Malik Beasley,beaslma01
10,Mason Plumlee,plumlma01
11,Michael Porter,portemi01
12,PJ Dozier,doziepj01
13,Keita Bates-Diop,bateske01
14,Troy Daniels,danietr01
15,Juan Hernangómez,hernaju01
16,Bol Bol,bolbo01
17,Tyler Cook,cookty01
18,Jordan McRae,mcraejo01
19,Jarred Vanderbilt,vandeja01
20,Noah Vonleh,vonleno01
21,Vlatko Čančar,cancavl01
