,&nbsp;,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Lou Williams,33,65,1864,62%,37%,1%,,,+3.5,-6.6,129,32,17,8,135,20,854,26,50
2,Kawhi Leonard,28,57,1848,,23%,60%,17%,,+12.0,+11.5,59,42,37,24,167,7,684,45,40
3,Montrezl Harrell,26,63,1749,,,,,100%,+6.0,-0.9,30,39,89,18,184,36,266,72,71
4,Landry Shamet,22,53,1452,17%,67%,16%,,,+4.5,-3.3,22,10,63,3,28,11,239,4,14
5,Paul George,29,48,1419,,,53%,47%,,+8.3,+3.1,70,33,50,18,84,17,448,17,38
6,Patrick Beverley,31,51,1342,99%,1%,,,,+10.5,+6.6,39,9,54,7,17,28,458,5,8
7,Ivica Zubac,22,72,1326,,,,,100%,+9.2,+4.4,18,13,113,20,75,1,196,11,28
8,JaMychal Green,29,63,1307,,,1%,92%,7%,+5.2,-2.0,18,7,78,15,20,5,123,3,20
9,Maurice Harkless,26,50,1141,,42%,48%,10%,,+4.0,-3.6,23,5,76,10,20,1,114,4,11
10,Rodney McGruder,28,56,871,10%,42%,47%,1%,,+1.4,-6.8,14,5,36,1,16,11,92,4,17
11,Patrick Patterson,30,59,776,,,,75%,25%,+3.3,-4.1,9,2,24,9,14,8,99,3,5
12,Marcus Morris,30,19,549,,,3%,96%,1%,+14.7,+9.7,8,8,24,4,11,2,67,3,4
13,Jerome Robinson,22,42,476,14%,69%,16%,1%,,+4.4,-2.4,17,4,26,2,6,6,105,1,7
14,Terance Mann,23,41,362,4%,42%,53%,1%,,+1.3,-5.8,12,2,18,3,14,2,135,3,7
15,Reggie Jackson,29,17,362,98%,2%,,,,+9.2,+3.0,14,6,14,5,8,3,131,3,8
16,Derrick Walton,24,23,222,100%,,,,,-0.3,-7.2,3,0,7,1,3,0,58,0,1
17,Amir Coffey,22,18,159,,11%,85%,4%,,+2.7,-3.9,5,1,12,1,3,0,37,1,4
18,Mfiondu Kabengele,22,12,64,,,,15%,86%,+0.9,-5.7,1,1,8,0,2,0,5,1,4
19,Joakim Noah,34,5,50,,,,,100%,-11.5,-18.3,4,1,4,1,3,1,16,0,0
20,Johnathan Motley,24,13,41,,,7%,75%,18%,+6.4,-0.1,2,1,3,0,3,0,21,1,1
