&nbsp;,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,72,17380,2992,6425,.466,895,2410,.371,2097,4015,.522,1498,1894,.791,767,2664,3431,1708,511,338,1051,1594,8377
Team/G,,241.4,41.6,89.2,.466,12.4,33.5,.371,29.1,55.8,.522,20.8,26.3,.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3
Lg Rank,,16,10,14,12,13,16,6,13,14,17,1,1,9,8,3,3,22,24,18,13,26,4
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
Opponent,72,17380,2846,6494,.438,886,2566,.345,1960,3928,.499,1335,1766,.756,771,2491,3262,1709,540,338,1013,1647,7913
Opponent/G,,241.4,39.5,90.2,.438,12.3,35.6,.345,27.2,54.6,.499,18.5,24.5,.756,10.7,34.6,45.3,23.7,7.5,4.7,14.1,22.9,109.9
Lg Rank,,16,8,21,3,18,27,5,6,12,2,19,22,3,25,13,18,9,14,13,20,1,13
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
