Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Draymond Green,28,22,22,851,6.6,13.2,.498,0.7,3.3,.228,5.8,9.9,.587,2.9,4.1,.718,2.4,10.5,12.8,10.8,1.8,1.9,4.8,4.9,16.8,,110,108
2,Stephen Curry,30,22,22,846,11.0,24.9,.441,5.3,14.1,.377,5.7,10.8,.524,8.6,9.1,.943,1.0,6.7,7.6,7.3,1.4,0.2,3.8,3.9,35.9,,121,114
3,Klay Thompson,28,21,21,818,9.8,21.5,.456,4.2,9.5,.443,5.6,12.1,.465,2.2,2.5,.902,0.7,4.4,5.1,2.6,1.7,0.9,2.3,3.5,26.0,,109,114
4,Andre Iguodala,35,21,15,629,6.4,12.9,.494,2.2,6.2,.350,4.2,6.7,.628,1.1,2.9,.378,2.1,5.0,7.1,6.5,1.9,1.8,1.6,3.3,16.0,,120,112
5,Kevin Durant,30,12,12,442,13.8,26.9,.514,3.9,8.9,.438,10.0,18.0,.552,11.3,12.5,.903,0.1,6.4,6.5,6.0,1.4,1.3,4.8,4.2,42.9,,121,112
6,Kevon Looney,22,21,1,432,7.3,10.5,.688,0.0,0.0,,7.3,10.5,.688,2.4,3.3,.724,4.6,6.0,10.6,2.3,1.4,1.2,1.5,5.7,16.9,,139,113
7,Shaun Livingston,33,22,2,322,5.2,11.4,.453,0.0,0.3,.000,5.2,11.1,.466,3.2,3.8,.840,1.7,3.0,4.7,4.7,1.5,0.6,1.2,5.3,13.5,,116,115
8,Alfonzo McKinnie,26,22,1,235,5.4,12.3,.441,2.1,6.7,.313,3.3,5.6,.593,0.8,2.1,.400,3.5,6.9,10.4,0.8,0.4,0.2,1.2,6.7,13.7,,108,116
9,Quinn Cook,25,17,0,193,7.1,17.8,.400,2.8,8.6,.324,4.3,9.1,.472,1.0,1.0,1.000,0.5,4.1,4.6,3.0,0.8,0.3,1.5,3.3,18.0,,100,117
10,Andrew Bogut,34,19,6,179,6.6,10.1,.649,0.0,0.0,,6.6,10.1,.649,1.1,1.4,.800,6.3,13.9,20.2,5.7,1.4,1.6,2.7,10.4,14.2,,131,107
11,DeMarcus Cousins,28,8,5,133,7.7,19.5,.396,1.1,4.4,.250,6.6,15.1,.439,5.9,9.2,.640,3.3,11.0,14.4,7.0,1.8,2.2,7.0,8.8,22.4,,90,107
12,Jonas Jerebko,31,16,0,121,4.9,17.0,.286,2.0,7.7,.263,2.8,9.3,.304,2.0,2.4,.833,6.1,7.7,13.8,4.9,0.4,0.8,0.8,3.6,13.8,,106,115
13,Jordan Bell,24,15,2,106,7.8,14.3,.548,0.0,0.0,,7.8,14.3,.548,3.2,4.6,.700,3.2,5.5,8.8,5.1,1.8,3.2,0.9,6.0,18.9,,129,109
14,Jacob Evans,21,7,0,18,5.4,13.6,.400,2.7,5.4,.500,2.7,8.2,.333,0.0,0.0,,0.0,2.7,2.7,2.7,0.0,0.0,5.4,2.7,13.6,,74,120
15,Damian Jones,23,4,1,8,6.1,6.1,1.000,0.0,0.0,,6.1,6.1,1.000,6.1,12.2,.500,0.0,12.2,12.2,0.0,0.0,0.0,6.1,18.4,18.4,,88,113
