Player,Team,Update,Description
Kevin Durant,Golden State Warriors,"Thu, Jun 13, 2019",Out (Achilles) - The Warriors announced that Durant ruptured his Achilles and had successful surgery on it. There is no timetable for his return.
Klay Thompson,Golden State Warriors,"Fri, Jun 14, 2019","Out (Knee) - The Warriors announced that Thompson tore his ACL. There is no timetable for his return, but he\'s expected to be out for several months."
