&nbsp;,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19805,3612,7361,.491,1087,2824,.385,2525,4537,.557,1339,1672,.801,797,2990,3787,2413,625,525,1169,1757,9650
Team/G,,241.5,44.0,89.8,.491,13.3,34.4,.385,30.8,55.3,.557,16.3,20.4,.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
Lg Rank,,15,1,13,1,3,8,3,12,22,2,23,28,5,21,3,11,1,15,1,21,22,2
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
Opponent,82,19805,3315,7471,.444,955,2753,.347,2360,4718,.500,1535,1987,.773,886,2750,3636,1989,630,295,1105,1601,9120
Opponent/G,,241.5,40.4,91.1,.444,11.6,33.6,.347,28.8,57.5,.500,18.7,24.2,.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2
Lg Rank,,15,11,24,3,17,25,11,7,20,4,24,24,23,21,5,10,12,19,1,19,4,16
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
