,Advanced,Offense Four Factors,Defense Four Factors,
&nbsp;,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,Free Throw Attempt Rate,3-Point Attempt Rate,Effective Field Goal Percentage,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,100.9,.227,.384,.565,12.6,22.5,.182,.508,11.7,77.1,.205,Oracle Arena,"803,436"
Lg Rank,3,28,2,2,2,19,2,1,13,10,28,8,1,18,16,23,3,20,14,21,,6
