Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Paul George,30,3,3,97,12.8,23.0,.556,5.1,11.7,.435,7.7,11.2,.682,5.6,6.1,.917,0.0,6.6,6.6,8.2,1.0,0.0,7.7,2.6,36.2,,112,119
2,Nicolas Batum,32,3,3,86,4.6,9.2,.500,1.7,5.2,.333,2.9,4.0,.714,0.6,0.6,1.000,3.5,9.2,12.7,6.3,1.7,0.6,2.3,5.2,11.5,,123,115
3,Luke Kennard,24,3,1,70,5.0,16.3,.304,2.1,9.2,.231,2.8,7.1,.400,1.4,1.4,1.000,0.0,7.1,7.1,3.5,2.1,0.7,3.5,4.2,13.4,,75,115
4,Patrick Beverley,32,3,3,66,5.3,12.8,.412,3.0,9.0,.333,2.3,3.8,.600,2.3,3.0,.750,3.8,3.8,7.5,2.3,1.5,0.0,3.0,9.8,15.8,,105,119
5,Kawhi Leonard,29,2,2,64,13.9,31.0,.450,2.3,9.3,.250,11.6,21.7,.536,6.2,6.2,1.000,1.5,3.9,5.4,7.7,4.6,0.8,3.9,7.0,36.4,,108,112
6,Serge Ibaka,31,3,3,62,13.6,21.6,.630,3.2,7.2,.444,10.4,14.4,.722,4.0,6.4,.625,2.4,11.2,13.6,2.4,0.0,2.4,1.6,7.2,34.3,,132,116
7,Ivica Zubac,23,3,0,62,7.2,8.8,.818,0.0,0.0,,7.2,8.8,.818,12.0,15.2,.789,3.2,3.2,6.4,0.8,0.8,1.6,2.4,7.2,26.4,,154,120
8,Lou Williams,34,3,0,59,5.9,16.8,.350,3.4,6.7,.500,2.5,10.1,.250,0.8,2.5,.333,0.8,5.0,5.9,5.9,0.8,0.0,1.7,2.5,15.9,,97,121
9,Patrick Patterson,31,3,0,40,2.5,8.7,.286,2.5,7.4,.333,0.0,1.2,.000,2.5,2.5,1.000,3.7,5.0,8.7,3.7,2.5,0.0,2.5,7.4,9.9,,107,117
10,Reggie Jackson,30,3,0,37,6.7,20.1,.333,4.0,14.7,.273,2.7,5.4,.500,0.0,0.0,,0.0,6.7,6.7,5.4,0.0,0.0,2.7,4.0,17.4,,87,121
11,Terance Mann,24,3,0,30,5.0,16.5,.300,0.0,3.3,.000,5.0,13.2,.375,0.0,0.0,,0.0,5.0,5.0,3.3,0.0,0.0,1.7,5.0,9.9,,66,122
12,Amir Coffey,23,3,0,19,0.0,13.0,.000,0.0,5.2,.000,0.0,7.8,.000,2.6,5.2,.500,2.6,0.0,2.6,5.2,0.0,0.0,0.0,2.6,2.6,,52,125
13,Mfiondu Kabengele,23,3,0,17,2.9,8.7,.333,2.9,8.7,.333,0.0,0.0,,5.8,5.8,1.000,0.0,5.8,5.8,0.0,2.9,0.0,0.0,5.8,14.6,,136,115
14,Daniel Oturu,21,2,0,12,8.3,16.5,.500,0.0,4.1,.000,8.3,12.4,.667,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,4.1,4.1,8.3,16.5,,74,115
