,Advanced,Offense Four Factors,Defense Four Factors,
&nbsp;,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,Free Throw Attempt Rate,3-Point Attempt Rate,Effective Field Goal Percentage,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,2,1,1,2,-10.33,18.45,8.11,106.6,117.3,96.9,.259,.457,.533,15.9,19.7,.210,.542,12.2,75.4,.285,STAPLES Center,
Lg Rank,5,16,26,28,28,3,9,21,28,30,16,2,13,28,20,13,21,21,24,29,,
