Rk,&nbsp;,Salary
1,Paul George,"$35,450,412"
2,Kawhi Leonard,"$34,379,100"
3,Marcus Morris,"$14,883,721"
4,Patrick Beverley,"$13,333,333"
5,Serge Ibaka,"$9,258,000"
6,Lou Williams,"$8,000,000"
7,Ivica Zubac,"$7,000,000"
8,Luke Kennard,"$5,273,826"
9,Patrick Patterson,"$3,077,701"
10,Nicolas Batum,"$2,564,753"
11,Reggie Jackson,"$2,331,593"
12,Mfiondu Kabengele,"$2,075,880"
13,Terance Mann,"$1,517,984"
14,Daniel Oturu,"$898,310"
