Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul George,30,3,3,97,25,45,.556,10,23,.435,15,22,.682,.667,11,12,.917,0,13,13,16,2,0,15,5,71
2,Nicolas Batum,32,3,3,86,8,16,.500,3,9,.333,5,7,.714,.594,1,1,1.000,6,16,22,11,3,1,4,9,20
3,Luke Kennard,24,3,1,70,7,23,.304,3,13,.231,4,10,.400,.370,2,2,1.000,0,10,10,5,3,1,5,6,19
4,Patrick Beverley,32,3,3,66,7,17,.412,4,12,.333,3,5,.600,.529,3,4,.750,5,5,10,3,2,0,4,13,21
5,Kawhi Leonard,29,2,2,64,18,40,.450,3,12,.250,15,28,.536,.488,8,8,1.000,2,5,7,10,6,1,5,9,47
6,Serge Ibaka,31,3,3,62,17,27,.630,4,9,.444,13,18,.722,.704,5,8,.625,3,14,17,3,0,3,2,9,43
7,Ivica Zubac,23,3,0,62,9,11,.818,0,0,,9,11,.818,.818,15,19,.789,4,4,8,1,1,2,3,9,33
8,Lou Williams,34,3,0,59,7,20,.350,4,8,.500,3,12,.250,.450,1,3,.333,1,6,7,7,1,0,2,3,19
9,Patrick Patterson,31,3,0,40,2,7,.286,2,6,.333,0,1,.000,.429,2,2,1.000,3,4,7,3,2,0,2,6,8
10,Reggie Jackson,30,3,0,37,5,15,.333,3,11,.273,2,4,.500,.433,0,0,,0,5,5,4,0,0,2,3,13
11,Terance Mann,24,3,0,30,3,10,.300,0,2,.000,3,8,.375,.300,0,0,,0,3,3,2,0,0,1,3,6
12,Amir Coffey,23,3,0,19,0,5,.000,0,2,.000,0,3,.000,.000,1,2,.500,1,0,1,2,0,0,0,1,1
13,Mfiondu Kabengele,23,3,0,17,1,3,.333,1,3,.333,0,0,,.500,2,2,1.000,0,2,2,0,1,0,0,2,5
14,Daniel Oturu,21,2,0,12,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,2,2,0,0,1,1,2,4
,Team Totals,,3,,720,111,243,.457,37,111,.333,74,132,.561,.533,51,63,.810,25,89,114,67,21,9,51,80,310
