&nbsp;,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,3,720,111,243,.457,37,111,.333,74,132,.561,51,63,.810,25,89,114,67,21,9,51,80,310
Team/G,,240.0,37.0,81.0,.457,12.3,37.0,.333,24.7,44.0,.561,17.0,21.0,.810,8.3,29.7,38.0,22.3,7.0,3.0,17.0,26.7,103.3
Lg Rank,,9,29,29,16,13,9,20,27,30,8,18,22,7,23,29,30,22,16,27,21,30,29
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
Opponent,3,720,118,249,.474,34,106,.321,84,143,.587,71,89,.798,29,102,131,72,21,5,40,54,341
Opponent/G,,240.0,39.3,83.0,.474,11.3,35.3,.321,28.0,47.7,.587,23.7,29.7,.798,9.7,34.0,43.7,24.0,7.0,1.7,13.3,18.0,113.7
Lg Rank,,9,7,3,22,11,16,10,12,3,30,27,26,22,17,9,11,12,8,1,23,29,18
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
