Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul George,30,3,3,97,9.3,16.7,.556,3.7,8.5,.435,5.6,8.2,.682,4.1,4.5,.917,0.0,4.8,4.8,5.9,0.7,0.0,5.6,1.9,26.4
2,Nicolas Batum,32,3,3,86,3.3,6.7,.500,1.3,3.8,.333,2.1,2.9,.714,0.4,0.4,1.000,2.5,6.7,9.2,4.6,1.3,0.4,1.7,3.8,8.4
3,Luke Kennard,24,3,1,70,3.6,11.8,.304,1.5,6.7,.231,2.1,5.1,.400,1.0,1.0,1.000,0.0,5.1,5.1,2.6,1.5,0.5,2.6,3.1,9.8
4,Patrick Beverley,32,3,3,66,3.8,9.3,.412,2.2,6.5,.333,1.6,2.7,.600,1.6,2.2,.750,2.7,2.7,5.5,1.6,1.1,0.0,2.2,7.1,11.5
5,Kawhi Leonard,29,2,2,64,10.1,22.5,.450,1.7,6.8,.250,8.4,15.8,.536,4.5,4.5,1.000,1.1,2.8,3.9,5.6,3.4,0.6,2.8,5.1,26.4
6,Serge Ibaka,31,3,3,62,9.9,15.7,.630,2.3,5.2,.444,7.5,10.5,.722,2.9,4.6,.625,1.7,8.1,9.9,1.7,0.0,1.7,1.2,5.2,25.0
7,Ivica Zubac,23,3,0,62,5.2,6.4,.818,0.0,0.0,,5.2,6.4,.818,8.7,11.0,.789,2.3,2.3,4.6,0.6,0.6,1.2,1.7,5.2,19.2
8,Lou Williams,34,3,0,59,4.3,12.2,.350,2.4,4.9,.500,1.8,7.3,.250,0.6,1.8,.333,0.6,3.7,4.3,4.3,0.6,0.0,1.2,1.8,11.6
9,Patrick Patterson,31,3,0,40,1.8,6.3,.286,1.8,5.4,.333,0.0,0.9,.000,1.8,1.8,1.000,2.7,3.6,6.3,2.7,1.8,0.0,1.8,5.4,7.2
10,Reggie Jackson,30,3,0,37,4.9,14.6,.333,2.9,10.7,.273,1.9,3.9,.500,0.0,0.0,,0.0,4.9,4.9,3.9,0.0,0.0,1.9,2.9,12.6
11,Terance Mann,24,3,0,30,3.6,12.0,.300,0.0,2.4,.000,3.6,9.6,.375,0.0,0.0,,0.0,3.6,3.6,2.4,0.0,0.0,1.2,3.6,7.2
12,Amir Coffey,23,3,0,19,0.0,9.5,.000,0.0,3.8,.000,0.0,5.7,.000,1.9,3.8,.500,1.9,0.0,1.9,3.8,0.0,0.0,0.0,1.9,1.9
13,Mfiondu Kabengele,23,3,0,17,2.1,6.4,.333,2.1,6.4,.333,0.0,0.0,,4.2,4.2,1.000,0.0,4.2,4.2,0.0,2.1,0.0,0.0,4.2,10.6
14,Daniel Oturu,21,2,0,12,6.0,12.0,.500,0.0,3.0,.000,6.0,9.0,.667,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,3.0,3.0,6.0,12.0
