Player,Team,Update,Description
Kawhi Leonard,Los Angeles Clippers,"Mon, Dec 28, 2020",Day To Day (Mouth) - Leonard is questionable for Tuesday\'s (Dec. 29) game against Minnesota.
Marcus Morris,Los Angeles Clippers,"Mon, Dec 28, 2020",Out (Knee) - Morris Sr. is OUT for Tuesday\'s (Dec. 29) game against Minnesota.
