&nbsp;,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,65,15750,2425,5586,.434,785,2231,.352,1640,3355,.489,1052,1406,.748,715,2066,2781,1549,428,268,949,1223,6687
Team/G,,242.3,37.3,85.9,.434,12.1,34.3,.352,25.2,51.6,.489,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
Lg Rank,,26,30,26,30,15,14,19,29,25,30,26,25,24,3,29,26,19,26,25,14,3,30
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
Opponent,65,15750,2708,5690,.476,803,2279,.352,1905,3411,.558,907,1197,.758,711,2276,2987,1732,523,328,935,1337,7126
Opponent/G,,242.3,41.7,87.5,.476,12.4,35.1,.352,29.3,52.5,.558,14.0,18.4,.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6
Lg Rank,,26,19,12,23,19,23,11,18,7,30,1,1,4,27,18,23,30,23,20,16,16,12
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
