&nbsp;,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19880,3460,7305,.474,1015,2771,.366,2445,4534,.539,1449,1803,.804,786,2920,3706,2085,680,437,1150,1724,9384
Team/G,,242.4,42.2,89.1,.474,12.4,33.8,.366,29.8,55.3,.539,17.7,22.0,.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4
Lg Rank,,4,9,16,5,8,11,6,17,23,7,16,21,3,24,9,17,13,9,9,16,17,8
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
Opponent,82,19880,3302,7352,.449,882,2559,.345,2420,4793,.505,1399,1829,.765,867,2804,3671,2012,622,368,1225,1683,8885
Opponent/G,,242.4,40.3,89.7,.449,10.8,31.2,.345,29.5,58.5,.505,17.1,22.3,.765,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4
Lg Rank,,4,9,16,5,9,10,8,10,23,6,10,12,13,18,8,13,15,17,6,10,12,9
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
