1,Harrison Barnes,barneha02
2,De'Aaron Fox,foxde01
3,Buddy Hield,hieldbu01
4,Tyrese Haliburton,halibty01
5,Richaun Holmes,holmeri01
6,Marvin Bagley III,baglema01
7,Delon Wright,wrighde01
8,Maurice Harkless,harklma01
9,Terence Davis,daviste02
10,Cory Joseph,josepco01
11,Damian Jones,jonesda03
12,Nemanja Bjelica,bjeline01
13,Glenn Robinson III,robingl02
14,Hassan Whiteside,whiteha01
15,Louis King,kinglo02
16,Chimezie Metu,metuch01
17,DaQuan Jeffries,jeffrda01
18,Jabari Parker,parkeja01
19,Justin James,jamesju01
20,Kyle Guy,guyky01
21,Jahmi'us Ramsey,ramseja01
22,Norvel Pelle,pelleno01
23,Robert Woodard,woodaro01
24,Chris Silva,silvach01
