"Tue, Dec 22, 2020",10:00p,,Box Score,@,Los Angeles Lakers,W,,116,109,1,0,W 1,,,/boxscores/202012220LAL.html,LAL,LAC
"Fri, Dec 25, 2020",10:30p,,Box Score,@,Denver Nuggets,W,,121,108,2,0,W 2,,,/boxscores/202012250DEN.html,DEN,LAC
"Sun, Dec 27, 2020",3:30p,,Box Score,,Dallas Mavericks,L,,73,124,2,1,L 1,,,/boxscores/202012270LAC.html,DAL,LAC
