2,0,430
2,2,860
4,2,1090
4,3,1420
5,3,1580
6,3,1580
6,4,1720
6,5,1720
6,6,1970
6,8,2180
6,9,2980
6,10,2980
9,10,3390
11,10,3770
13,10,4010
13,12,4250
16,12,4740
16,14,4970
16,16,5280
16,17,5280
16,19,5630
18,19,5950
20,19,6320
22,19,6550
22,21,6640
22,23,6700
23,23,7670
24,23,7670
24,26,7830
24,28,8540
26,28,8780
26,30,8960
28,30,9550
30,30,9860
31,30,10190
34,30,11060
34,32,11320
34,34,11590
36,34,11740
37,34,12210
38,34,12210
39,34,12680
40,34,12680
40,36,12890
42,36,12980
43,36,12980
43,38,13120
44,38,13360
44,40,13530
44,42,13770
46,42,13930
46,44,14070
48,44,14270
49,44,14470
50,44,14470
50,47,14710
52,47,14970
52,50,15330
52,52,15560
52,53,15560
52,55,15930
55,55,16170
55,56,16940
55,57,16940
57,57,17060
59,57,17250
59,60,17500
60,60,17700
60,62,18140
61,62,18290
62,62,18490
63,62,18490
65,62,18760
65,63,19010
65,64,19010
67,64,19180
69,64,19480
70,64,20510
72,64,20530
72,66,21030
72,67,21030
72,69,21420
73,69,22660
74,69,22960
75,69,23070
77,69,23180
77,71,24740
78,71,25080
78,74,25240
79,74,25820
79,76,26390
80,76,26590
80,79,26820
80,81,27270
81,81,27500
83,81,27850
83,83,28010
85,83,28290
85,84,28470
85,86,28740
0,2,200
0,4,380
0,6,940
0,8,1270
0,9,1270
0,11,1450
2,11,1630
2,13,1910
2,15,2120
3,15,2890
4,15,2890
6,15,3480
8,15,3750
9,15,4130
10,15,4130
10,17,4320
11,17,4460
12,17,4580
13,17,4580
14,17,4950
15,17,4950
15,19,5450
16,19,5710
17,19,5710
19,19,6050
20,19,6390
21,19,6390
23,19,6590
23,22,6900
26,22,7110
26,25,7460
28,25,7640
28,27,8010
30,27,8250
30,30,8470
30,32,8670
32,32,9830
32,34,10500
32,36,10830
32,37,10830
32,38,11440
35,38,11800
35,41,11940
37,41,12130
37,43,12380
37,45,12610
37,47,13010
39,47,13330
40,47,13620
41,47,13620
41,49,13810
41,51,14280
41,53,14630
43,53,14780
43,55,15140
45,55,15450
45,57,15870
47,57,16020
47,58,16250
49,58,16460
49,60,16670
49,62,17210
50,62,17300
51,62,17300
51,64,17450
53,64,17630
53,65,17740
53,67,18520
53,69,18640
56,69,18810
56,70,19450
56,71,19450
56,73,20150
58,73,20360
58,75,21450
60,75,21590
60,76,21940
60,77,21940
60,79,22090
60,82,22720
62,82,23230
62,85,23530
64,85,23630
64,87,23820
65,87,23990
66,87,23990
68,87,24400
68,89,24840
70,89,24970
70,90,25150
70,91,25150
70,93,25340
70,94,25340
72,94,25500
72,96,25630
74,96,25960
75,96,25960
76,96,26450
77,96,26450
77,97,26510
79,97,26670
81,97,27260
83,97,27510
85,97,27800
85,99,28000
87,99,28180
88,99,28360
89,99,28360
91,99,28550
2,0,460
2,2,1320
2,4,1600
4,4,1830
4,6,2010
4,8,2400
6,8,2630
8,8,2840
10,8,3090
12,8,3340
12,10,3610
12,12,4540
14,12,4880
14,14,5170
16,14,5320
16,16,5730
18,16,6190
18,18,6400
20,18,6600
20,19,6770
22,19,6900
22,20,7000
22,21,7000
23,21,7170
24,21,7360
26,21,7380
26,22,7600
26,23,7600
26,24,7890
26,25,7890
26,27,8340
26,29,8770
27,29,9010
27,30,9800
27,32,10580
29,32,10700
31,32,11060
33,32,11480
34,32,11480
34,34,11910
36,34,12500
36,36,12700
36,37,12940
37,37,13100
37,39,13230
38,39,13450
40,39,13820
40,40,13980
40,41,13980
41,41,14150
41,42,14160
41,43,14160
43,43,14400
45,43,14630
45,45,14810
47,45,15190
47,47,15470
47,48,15750
47,51,15790
47,53,15990
47,55,16460
47,57,16910
49,57,17070
51,57,17260
51,59,17440
53,59,17720
53,62,17960
53,64,18560
54,64,18750
55,64,18750
57,64,19030
57,66,19290
58,66,19420
59,66,19420
61,66,19750
61,68,19930
61,70,20250
62,70,20400
63,70,20400
63,72,20560
64,72,20750
66,72,20880
67,72,20880
67,74,21060
69,74,21300
69,76,21490
71,76,22280
71,78,22740
71,79,22740
71,81,23500
71,82,23860
73,82,24160
73,84,24300
73,86,24580
73,88,25210
75,88,25560
75,89,25770
76,89,26260
76,91,26380
77,91,26500
77,93,26600
77,95,27300
78,95,27570
79,95,27570
79,97,27680
81,97,28200
83,97,28580
83,99,28800
0,2,380
2,2,500
4,2,1180
6,2,1490
8,2,1860
10,2,2130
10,4,2410
11,4,2500
11,6,2650
13,6,2760
13,8,3280
15,8,3420
17,8,3790
17,9,4030
19,9,4150
19,11,4670
21,11,4840
23,11,5180
23,13,5400
23,15,5860
24,15,5990
24,17,6210
24,19,6580
24,21,7060
24,23,7360
26,23,7500
26,25,8380
26,28,8730
27,28,8920
28,28,8920
28,30,9110
28,31,9720
28,32,9720
28,33,10040
28,34,10040
29,34,10280
30,34,10280
30,36,10470
33,36,10650
35,36,10860
35,38,11720
37,38,12050
37,40,12190
39,40,12730
39,42,12860
41,42,13030
43,42,13260
43,44,13540
45,44,13690
45,46,13860
47,46,14550
50,46,15620
50,48,15860
50,50,16200
51,50,16610
53,50,16630
55,50,17150
55,51,17320
58,51,17550
58,53,17860
61,53,18060
61,54,18660
61,55,18660
64,55,18980
64,57,19290
67,57,19810
67,59,20420
67,60,20970
67,61,20970
69,61,21310
69,63,22010
69,64,22900
69,65,22900
71,65,23080
71,68,23290
71,70,23730
71,72,24280
73,72,24780
74,72,24780
74,74,25010
74,76,25320
75,76,25600
76,76,25600
76,77,25830
