&nbsp;,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,72,17430,2971,6448,.461,905,2487,.364,2066,3961,.522,1336,1668,.801,768,2549,3317,1655,595,406,995,1553,8183
Team/G,,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7
Lg Rank,,13,12,11,17,12,13,13,16,16,18,11,18,5,6,11,8,25,6,5,8,20,9
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
Opponent,72,17430,2764,6268,.441,851,2504,.340,1913,3764,.508,1350,1761,.767,743,2449,3192,1613,514,396,1097,1487,7729
Opponent/G,,242.1,38.4,87.1,.441,11.8,34.8,.340,26.6,52.3,.508,18.8,24.5,.767,10.3,34.0,44.3,22.4,7.1,5.5,15.2,20.7,107.3
Lg Rank,,13,2,8,4,10,16,2,4,6,7,20,19,9,18,8,11,2,8,25,9,15,2
Year/Year,,,,,,,,,,,,,,,,,,,,,,,
