,Advanced,Offense Four Factors,Defense Four Factors,
&nbsp;,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,Free Throw Attempt Rate,3-Point Attempt Rate,Effective Field Goal Percentage,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,99.5,.259,.386,.531,12.2,23.9,.207,.509,13.5,77.4,.215,TD Garden,"610,864"
Lg Rank,5,26,2,2,3,26,5,4,4,17,18,14,17,6,8,12,4,9,17,22,,11
