1,"Tue, Dec 22, 2020",,10:00p,,Box Score,/boxscores/202012220LAL.html,@,Los Angeles Lakers,/teams/LAL/2021.html,W,,116,109,1,0,W 1,,0,LAL,LAC
2,"Fri, Dec 25, 2020",,10:30p,,Box Score,/boxscores/202012250DEN.html,@,Denver Nuggets,/teams/DEN/2021.html,W,,121,108,2,0,W 2,,0,DEN,LAC
3,"Sun, Dec 27, 2020",,3:30p,,Box Score,/boxscores/202012270LAC.html,,Dallas Mavericks,/teams/DAL/2021.html,L,,73,124,2,1,L 1,,0,DAL,LAC
4,"Tue, Dec 29, 2020",,10:00p,,Box Score,/boxscores/202012290LAC.html,,Minnesota Timberwolves,/teams/MIN/2021.html,W,,124,101,3,1,W 1,,0,MIN,LAC
5,"Wed, Dec 30, 2020",,10:00p,,Box Score,/boxscores/202012300LAC.html,,Portland Trail Blazers,/teams/POR/2021.html,W,,128,105,4,1,W 2,,0,POR,LAC
6,"Fri, Jan 1, 2021",,9:00p,,Box Score,/boxscores/202101010UTA.html,@,Utah Jazz,/teams/UTA/2021.html,L,,100,106,4,2,L 1,,0,UTA,LAC
7,"Sun, Jan 3, 2021",,8:00p,,Box Score,/boxscores/202101030PHO.html,@,Phoenix Suns,/teams/PHO/2021.html,W,,112,107,5,2,W 1,,0,PHO,LAC
8,"Tue, Jan 5, 2021",,10:00p,,Box Score,/boxscores/202101050LAC.html,,San Antonio Spurs,/teams/SAS/2021.html,L,,113,116,5,3,L 1,,0,SAS,LAC
9,"Wed, Jan 6, 2021",,10:00p,,Box Score,/boxscores/202101060GSW.html,@,Golden State Warriors,/teams/GSW/2021.html,W,,108,101,6,3,W 1,,0,GSW,LAC
10,"Fri, Jan 8, 2021",,10:00p,,Box Score,/boxscores/202101080GSW.html,@,Golden State Warriors,/teams/GSW/2021.html,L,,105,115,6,4,L 1,,0,GSW,LAC
11,"Sun, Jan 10, 2021",,4:00p,,Box Score,/boxscores/202101100LAC.html,,Chicago Bulls,/teams/CHI/2021.html,W,,130,127,7,4,W 1,,0,CHI,LAC
12,"Wed, Jan 13, 2021",,10:00p,,Box Score,/boxscores/202101130LAC.html,,New Orleans Pelicans,/teams/NOP/2021.html,W,,111,106,8,4,W 2,,0,NOP,LAC
13,"Fri, Jan 15, 2021",,10:00p,,Box Score,/boxscores/202101150SAC.html,@,Sacramento Kings,/teams/SAC/2021.html,W,,138,100,9,4,W 3,,0,SAC,LAC
14,"Sun, Jan 17, 2021",,10:00p,,Box Score,/boxscores/202101170LAC.html,,Indiana Pacers,/teams/IND/2021.html,W,,129,96,10,4,W 4,,0,IND,LAC
15,"Wed, Jan 20, 2021",,10:00p,,Box Score,/boxscores/202101200LAC.html,,Sacramento Kings,/teams/SAC/2021.html,W,,115,96,11,4,W 5,,0,SAC,LAC
16,"Fri, Jan 22, 2021",,10:00p,,Box Score,/boxscores/202101220LAC.html,,Oklahoma City Thunder,/teams/OKC/2021.html,W,,120,106,12,4,W 6,,0,OKC,LAC
17,"Sun, Jan 24, 2021",,4:00p,,Box Score,/boxscores/202101240LAC.html,,Oklahoma City Thunder,/teams/OKC/2021.html,W,,108,100,13,4,W 7,,0,OKC,LAC
18,"Tue, Jan 26, 2021",,7:30p,,Box Score,/boxscores/202101260ATL.html,@,Atlanta Hawks,/teams/ATL/2021.html,L,,99,108,13,5,L 1,,0,ATL,LAC
19,"Thu, Jan 28, 2021",,8:00p,,Box Score,/boxscores/202101280MIA.html,@,Miami Heat,/teams/MIA/2021.html,W,,109,105,14,5,W 1,,0,MIA,LAC
20,"Fri, Jan 29, 2021",,8:00p,,Box Score,/boxscores/202101290ORL.html,@,Orlando Magic,/teams/ORL/2021.html,W,,116,90,15,5,W 2,,0,ORL,LAC
21,"Sun, Jan 31, 2021",,1:00p,,Box Score,/boxscores/202101310NYK.html,@,New York Knicks,/teams/NYK/2021.html,W,,129,115,16,5,W 3,,0,NYK,LAC
22,"Tue, Feb 2, 2021",,7:30p,,Box Score,/boxscores/202102020BRK.html,@,Brooklyn Nets,/teams/BRK/2021.html,L,,120,124,16,6,L 1,,0,BRK,LAC
23,"Wed, Feb 3, 2021",,8:00p,,Box Score,/boxscores/202102030CLE.html,@,Cleveland Cavaliers,/teams/CLE/2021.html,W,,121,99,17,6,W 1,,0,CLE,LAC
24,"Fri, Feb 5, 2021",,10:00p,,Box Score,/boxscores/202102050LAC.html,,Boston Celtics,/teams/BOS/2021.html,L,,115,119,17,7,L 1,,0,BOS,LAC
25,"Sun, Feb 7, 2021",,3:00p,,Box Score,/boxscores/202102070LAC.html,,Sacramento Kings,/teams/SAC/2021.html,L,,110,113,17,8,L 2,,0,SAC,LAC
26,"Wed, Feb 10, 2021",,8:00p,,Box Score,/boxscores/202102100MIN.html,@,Minnesota Timberwolves,/teams/MIN/2021.html,W,,119,112,18,8,W 1,,0,MIN,LAC
27,"Fri, Feb 12, 2021",,8:00p,,Box Score,/boxscores/202102120CHI.html,@,Chicago Bulls,/teams/CHI/2021.html,W,,125,106,19,8,W 2,,0,CHI,LAC
28,"Sun, Feb 14, 2021",,10:00p,,Box Score,/boxscores/202102140LAC.html,,Cleveland Cavaliers,/teams/CLE/2021.html,W,,128,111,20,8,W 3,,0,CLE,LAC
29,"Mon, Feb 15, 2021",,10:00p,,Box Score,/boxscores/202102150LAC.html,,Miami Heat,/teams/MIA/2021.html,W,,125,118,21,8,W 4,,0,MIA,LAC
30,"Wed, Feb 17, 2021",,10:00p,,Box Score,/boxscores/202102170LAC.html,,Utah Jazz,/teams/UTA/2021.html,L,,96,114,21,9,L 1,,0,UTA,LAC
